,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,1000000.0
2,2021-10-05,1000970.8676870115
3,2021-10-06,1002014.2917282255
4,2021-10-07,1005732.0861046292
5,2021-10-08,1003585.338882141
6,2021-10-11,1001716.4448269119
7,2021-10-12,997091.3250474166
8,2021-10-13,1001149.9366641922
9,2021-10-14,1021373.7869437027
10,2021-10-15,1032752.6596970444
11,2021-10-18,1031963.0346351509
12,2021-10-19,1038236.6457323799
13,2021-10-20,1043814.3350100936
14,2021-10-21,1040958.5683925361
15,2021-10-22,1046212.6815652465
16,2021-10-25,1044528.4046280975
17,2021-10-26,1044145.8298852653
18,2021-10-27,1031233.25116502
19,2021-10-28,1042132.6258796654
20,2021-10-29,1038992.8784566117
21,2021-11-01,1043327.8204321442
22,2021-11-02,1048309.9346625138
23,2021-11-03,1047325.8732478867
24,2021-11-04,1043678.5317263642
25,2021-11-05,1054493.2512800216
26,2021-11-08,1062669.7842791062
27,2021-11-09,1057957.9010500412
28,2021-11-10,1053553.913594841
29,2021-11-11,1053499.2292639962
30,2021-11-12,1058936.4279465028
31,2021-11-15,1062621.417433815
32,2021-11-16,1056324.6739642562
33,2021-11-17,1052866.6259037247
34,2021-11-18,1046028.3673008919
35,2021-11-19,1036608.1546820259
36,2021-11-22,1038697.5639625512
37,2021-11-23,1045264.5707313042
38,2021-11-24,1043830.8584901238
39,2021-11-26,1006916.586490139
40,2021-11-29,1012224.8392901268
41,2021-11-30,992266.7583994713
42,2021-12-01,977001.8713908043
43,2021-12-02,999733.3752741661
44,2021-12-03,997813.7533335533
45,2021-12-06,1016982.9006190147
46,2021-12-07,1034700.7065982247
47,2021-12-08,1037582.9049324074
48,2021-12-09,1036274.6409819031
49,2021-12-10,1040524.1858693238
50,2021-12-13,1030198.6083973771
51,2021-12-14,1028257.7527835045
52,2021-12-15,1034633.2913615303
53,2021-12-16,1037737.0066001549
54,2021-12-17,1020709.4336438256
55,2021-12-20,1003556.2730344963
56,2021-12-21,1020002.7138764267
57,2021-12-22,1028580.0203797226
58,2021-12-23,1037392.846596016
59,2021-12-27,1045660.3511691208
60,2021-12-28,1047462.389094841
61,2021-12-29,1048473.6316638107
62,2021-12-30,1045298.7103381271
63,2021-12-31,1044308.4444918747
64,2022-01-03,1055772.9825854416
65,2022-01-04,1074640.1179080124
66,2022-01-05,1063859.9538073654
67,2022-01-06,1065735.3545031662
68,2022-01-07,1074747.4971804733
69,2022-01-10,1067064.2628817672
70,2022-01-11,1071587.0044970626
71,2022-01-12,1074924.3965869064
72,2022-01-13,1074026.87751342
73,2022-01-14,1064148.3469500656
74,2022-01-18,1049496.259532463
75,2022-01-19,1035814.9053454513
76,2022-01-20,1027270.4095034713
77,2022-01-21,1014181.7022051925
78,2022-01-24,1015060.4526629562
79,2022-01-25,1026564.2902255172
80,2022-01-26,1021793.4609332199
81,2022-01-27,1014383.8135714645
82,2022-01-28,1022031.5177798385
83,2022-01-31,1036485.6273532028
84,2022-02-01,1047282.0019869918
85,2022-02-02,1050100.7220797653
86,2022-02-03,1037759.0184970016
87,2022-02-04,1038528.8667712326
88,2022-02-07,1041476.3361392135
89,2022-02-08,1054488.1809268112
90,2022-02-09,1062975.8948931808
91,2022-02-10,1052717.8589205856
92,2022-02-11,1036806.148494255
93,2022-02-14,1032861.9497256393
94,2022-02-15,1051101.0669512863
95,2022-02-16,1051925.4504275436
96,2022-02-17,1031794.3366732711
97,2022-02-18,1025888.497890007
98,2022-02-22,1014583.2676653976
99,2022-02-23,996391.8863940353
100,2022-02-24,991859.9610400314
101,2022-02-25,1019049.8333773727
102,2022-02-28,1013778.1789736862
103,2022-03-01,978326.1806368942
104,2022-03-02,998218.4657015915
105,2022-03-03,996025.6862979049
106,2022-03-04,982542.500422966
107,2022-03-07,952798.769664299
108,2022-03-08,955592.6542239303
109,2022-03-09,980261.6553988571
110,2022-03-10,973235.9183764572
111,2022-03-11,965468.5694613571
112,2022-03-14,971883.7035250778
113,2022-03-15,990703.0375933761
114,2022-03-16,1007463.1974825973
115,2022-03-17,1024308.197864067
116,2022-03-18,1031947.3447680587
117,2022-03-21,1030742.7803225631
118,2022-03-22,1041075.2972827072
119,2022-03-23,1027025.2323489303
120,2022-03-24,1036695.8686480636
121,2022-03-25,1043778.7158846969
122,2022-03-28,1043123.4137530441
123,2022-03-29,1051063.8784899826
124,2022-03-30,1048714.4852557296
125,2022-03-31,1034466.3118701095
126,2022-04-01,1034884.5008120651
127,2022-04-04,1038761.9251361007
128,2022-04-05,1024594.5748248214
129,2022-04-06,1019763.8789553756
130,2022-04-07,1019562.5565447921
131,2022-04-08,1022366.6449771042
132,2022-04-11,1010507.6594805832
133,2022-04-12,1007651.448771965
134,2022-04-13,1014452.6784854049
135,2022-04-14,1015411.1890826339
136,2022-04-18,1018127.9857516403
137,2022-04-19,1032394.5745120163
138,2022-04-20,1039090.8913302536
139,2022-04-21,1029654.4341006393
140,2022-04-22,998838.3000674362
141,2022-04-25,1006453.846957695
142,2022-04-26,979547.3387332077
143,2022-04-27,975430.2229418869
144,2022-04-28,993747.7350421066
145,2022-04-29,967953.6677966232
146,2022-05-02,966318.5188250656
147,2022-05-03,972197.1063113327
148,2022-05-04,1001979.257655632
149,2022-05-05,968147.1678042526
150,2022-05-06,963159.7138705368
151,2022-05-09,940574.518001091
152,2022-05-10,937514.6576113815
153,2022-05-11,924513.3531603927
154,2022-05-12,913794.9546084518
155,2022-05-13,928383.6266894455
156,2022-05-16,927495.5556445236
157,2022-05-17,947790.6760668869
158,2022-05-18,914524.1513095016
159,2022-05-19,899912.5545382614
160,2022-05-20,890652.6115374679
161,2022-05-23,916760.6877398605
162,2022-05-24,916211.6614642257
163,2022-05-25,923850.7850527877
164,2022-05-26,940352.1374392624
165,2022-05-27,959749.9951205368
166,2022-05-31,955117.8651385421
167,2022-06-01,951074.3901324386
168,2022-06-02,969184.4793582077
169,2022-06-03,958784.9614596481
170,2022-06-06,959670.111461174
171,2022-06-07,970624.9596667404
172,2022-06-08,964001.1840930099
173,2022-06-09,941242.865077507
174,2022-06-10,910933.9937396164
175,2022-06-13,878482.1852450485
176,2022-06-14,871352.8002734298
177,2022-06-15,879076.10722686
178,2022-06-16,851795.5331454391
179,2022-06-17,858195.1516528244
180,2022-06-21,872862.96319915
181,2022-06-22,867759.8650164718
182,2022-06-23,862174.2649798507
183,2022-06-24,889558.3966632003
184,2022-06-27,884646.7012210006
185,2022-06-28,871664.7139544601
186,2022-06-29,866301.5575747604
187,2022-06-30,859100.2252230758
188,2022-07-01,867991.6100649948
189,2022-07-05,862346.1806445236
190,2022-07-06,862494.5380511398
191,2022-07-07,878125.3504061813
192,2022-07-08,875877.5537066574
193,2022-07-11,868954.528888237
194,2022-07-12,866299.6668276901
195,2022-07-13,862140.6014285202
196,2022-07-14,852118.5439105148
197,2022-07-15,869946.6403765792
198,2022-07-18,863198.987002861
199,2022-07-19,886671.853938591
200,2022-07-20,890187.8399233932
201,2022-07-21,896278.5931582565
202,2022-07-22,895969.1777682418
203,2022-07-25,898980.7975649948
204,2022-07-26,893333.9364276046
205,2022-07-27,905981.1551470871
206,2022-07-28,913239.4659457321
207,2022-07-29,921666.4019198532
208,2022-08-01,922064.5335726852
209,2022-08-02,905587.469928276
210,2022-08-03,920934.4941516037
211,2022-08-04,922622.7244219894
212,2022-08-05,926359.1471057052
213,2022-08-08,926292.7236132736
214,2022-08-09,926819.649615776
215,2022-08-10,945551.2361559982
216,2022-08-11,948385.743731987
217,2022-08-12,961950.8094668502
218,2022-08-15,964235.442584526
219,2022-08-16,968201.8170580978
220,2022-08-17,961885.716136467
221,2022-08-18,964356.270457756
222,2022-08-19,953479.2557330246
223,2022-08-22,935037.6360125656
224,2022-08-23,934263.7566332931
225,2022-08-24,935334.1226534958
226,2022-08-25,947379.3106875534
227,2022-08-26,915005.488704216
228,2022-08-29,906953.3708376999
229,2022-08-30,897566.1362643356
230,2022-08-31,886483.1848025436
231,2022-09-01,886270.276317131
232,2022-09-02,875735.7954669113
233,2022-09-06,869615.7794070358
234,2022-09-07,882474.0678973312
235,2022-09-08,888781.6119723434
236,2022-09-09,906455.1774706955
237,2022-09-12,920832.8221926803
238,2022-09-13,884623.9368777389
239,2022-09-14,887084.6212496872
240,2022-09-15,881761.1125216598
241,2022-09-16,873296.9933352584
242,2022-09-19,881412.7129321212
243,2022-09-20,872877.2196841354
244,2022-09-21,852618.0347781295
245,2022-09-22,844202.3068423385
246,2022-09-23,828603.9309496994
247,2022-09-26,819495.4047656173
248,2022-09-27,816450.2156405563
249,2022-09-28,828947.9679522628
250,2022-09-29,810922.2390399093
251,2022-09-30,796223.3722491378
252,2022-10-03,820440.7590365524
253,2022-10-04,848488.7252764816
254,2022-10-05,843789.3990664596
255,2022-10-06,833506.1712832565
256,2022-10-07,816271.307239067
257,2022-10-10,814320.7633853073
258,2022-10-11,812459.2706942672
259,2022-10-12,811974.3744540329
260,2022-10-13,836766.908336174
261,2022-10-14,823421.1778140182
262,2022-10-17,842813.4284319992
263,2022-10-18,857506.4159655685
264,2022-10-19,856761.3140902633
265,2022-10-20,849974.3597827072
266,2022-10-21,870740.4874110336
267,2022-10-24,879021.7997012252
268,2022-10-25,892869.9820819015
269,2022-10-26,891422.7839617843
270,2022-10-27,903906.4172015304
271,2022-10-28,931246.6423220749
272,2022-10-31,924381.1126513595
