,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999523.8032988281
2,2021-10-05,1000293.044127983
3,2021-10-06,1000120.8995968018
4,2021-10-07,1002872.6513549425
5,2021-10-08,1003038.4774091187
6,2021-10-11,1000668.6625155027
7,2021-10-12,999343.9813112563
8,2021-10-13,999210.4320507963
9,2021-10-14,1006815.3269845123
10,2021-10-15,1013327.3215970993
11,2021-10-18,1010651.2455798035
12,2021-10-19,1015891.8253006287
13,2021-10-20,1022142.0649629211
14,2021-10-21,1025466.5103267976
15,2021-10-22,1032926.7817862702
16,2021-10-25,1033852.3384995576
17,2021-10-26,1035942.2303218155
18,2021-10-27,1028382.9399881058
19,2021-10-28,1032268.908752533
20,2021-10-29,1035733.7953780709
21,2021-11-01,1033152.2314818116
22,2021-11-02,1037554.5747636376
23,2021-11-03,1043405.6104336929
24,2021-11-04,1044893.6163081017
25,2021-11-05,1046805.2965904885
26,2021-11-08,1048742.7405617752
27,2021-11-09,1049030.1601230241
28,2021-11-10,1044892.6489699631
29,2021-11-11,1035209.5779314996
30,2021-11-12,1040169.1034873658
31,2021-11-15,1035427.5781482544
32,2021-11-16,1040474.445633751
33,2021-11-17,1038072.2116206436
34,2021-11-18,1036844.0332755967
35,2021-11-19,1033404.9242755509
36,2021-11-22,1029796.1638458214
37,2021-11-23,1034927.1389147416
38,2021-11-24,1037316.8127736321
39,2021-11-26,1009753.9314004937
40,2021-11-29,1017193.1425253525
41,2021-11-30,999430.5179293557
42,2021-12-01,994522.4926100541
43,2021-12-02,1009572.1345869905
44,2021-12-03,1011817.7287204704
45,2021-12-06,1032415.4995896149
46,2021-12-07,1045401.3439663926
47,2021-12-08,1049219.6373490982
48,2021-12-09,1050547.348111927
49,2021-12-10,1055156.1807098198
50,2021-12-13,1048048.0686693382
51,2021-12-14,1048719.4620145836
52,2021-12-15,1060320.5295879175
53,2021-12-16,1062368.480706749
54,2021-12-17,1046409.5828427239
55,2021-12-20,1035330.1058263016
56,2021-12-21,1050451.319107998
57,2021-12-22,1057109.921198887
58,2021-12-23,1061934.3821132393
59,2021-12-27,1071382.7389991074
60,2021-12-28,1073553.2028718796
61,2021-12-29,1077792.2312073593
62,2021-12-30,1075514.001260067
63,2021-12-31,1073555.6213946496
64,2022-01-03,1079903.6618224678
65,2022-01-04,1085813.0181103593
66,2022-01-05,1078651.7406384775
67,2022-01-06,1075543.5580053597
68,2022-01-07,1073095.463638424
69,2022-01-10,1067729.3267473604
70,2022-01-11,1070219.603001377
71,2022-01-12,1070103.9341129113
72,2022-01-13,1065962.546304821
73,2022-01-14,1060228.4984832536
74,2022-01-18,1050436.6406917498
75,2022-01-19,1039825.1217017556
76,2022-01-20,1032564.8584596635
77,2022-01-21,1023292.929507454
78,2022-01-24,1024371.6625569878
79,2022-01-25,1027093.1344119569
80,2022-01-26,1025389.5622002222
81,2022-01-27,1024159.5022606774
82,2022-01-28,1047799.5775134927
83,2022-01-31,1055381.7385054247
84,2022-02-01,1062765.3941445046
85,2022-02-02,1072812.7664769213
86,2022-02-03,1059463.9141481745
87,2022-02-04,1056309.8677779504
88,2022-02-07,1056839.9399769478
89,2022-02-08,1069115.3132029
90,2022-02-09,1073821.227644024
91,2022-02-10,1056573.5891933977
92,2022-02-11,1046160.0722489397
93,2022-02-14,1040477.2818496858
94,2022-02-15,1048486.3273622285
95,2022-02-16,1046622.5397234879
96,2022-02-17,1030447.9300762941
97,2022-02-18,1024495.7305631868
98,2022-02-22,1021311.7128647576
99,2022-02-23,1007847.3580265809
100,2022-02-24,1004214.3954616319
101,2022-02-25,1030453.7152390176
102,2022-02-28,1021580.3604950067
103,2022-03-01,1001547.6668647729
104,2022-03-02,1016017.6790868264
105,2022-03-03,1012417.719327694
106,2022-03-04,1006360.8170373231
107,2022-03-07,978136.1413056833
108,2022-03-08,975477.4923597489
109,2022-03-09,989199.6347341043
110,2022-03-10,983678.014858349
111,2022-03-11,986158.8747282907
112,2022-03-14,988429.7715380746
113,2022-03-15,1007153.2717490923
114,2022-03-16,1024599.5566192323
115,2022-03-17,1030709.2216558191
116,2022-03-18,1039226.7318750421
117,2022-03-21,1032983.3993720056
118,2022-03-22,1041433.6341357842
119,2022-03-23,1031509.0064790918
120,2022-03-24,1045936.6366708489
121,2022-03-25,1054773.361898556
122,2022-03-28,1056530.2915977594
123,2022-03-29,1070368.5445064965
124,2022-03-30,1068616.9510642702
125,2022-03-31,1056050.702862793
126,2022-04-01,1064436.5092399293
127,2022-04-04,1060695.3876379472
128,2022-04-05,1057973.52282679
129,2022-04-06,1057706.219790104
130,2022-04-07,1059931.851457882
131,2022-04-08,1058692.4599108086
132,2022-04-11,1052372.504220318
133,2022-04-12,1048445.322018406
134,2022-04-13,1056397.0022062075
135,2022-04-14,1053093.264094658
136,2022-04-18,1056254.1526138955
137,2022-04-19,1066320.546719883
138,2022-04-20,1074600.2318343888
139,2022-04-21,1068317.1720589793
140,2022-04-22,1042126.8994739382
141,2022-04-25,1049607.984363701
142,2022-04-26,1026583.7143759538
143,2022-04-27,1032313.8375430872
144,2022-04-28,1056478.0484058459
145,2022-04-29,1031395.8508193971
146,2022-05-02,1029714.6618954813
147,2022-05-03,1030004.8179766084
148,2022-05-04,1063836.411062027
149,2022-05-05,1035095.9757809107
150,2022-05-06,1037572.2605770761
151,2022-05-09,1019051.6626256944
152,2022-05-10,1014491.293109051
153,2022-05-11,1010253.3370494805
154,2022-05-12,1009889.4278023912
155,2022-05-13,1019328.3171483232
156,2022-05-16,1018331.5893918306
157,2022-05-17,1027683.9863110811
158,2022-05-18,993201.6183925401
159,2022-05-19,982087.3821060754
160,2022-05-20,989036.5587341882
161,2022-05-23,1010989.102719967
162,2022-05-24,1020749.083920643
163,2022-05-25,1022063.8542534562
164,2022-05-26,1039617.5630615007
165,2022-05-27,1057472.801921135
166,2022-05-31,1056190.9461357652
167,2022-06-01,1045345.6053955613
168,2022-06-02,1055873.5070297776
169,2022-06-03,1046626.9016296922
170,2022-06-06,1049217.5876991807
171,2022-06-07,1055548.8552239
172,2022-06-08,1042140.2486908494
173,2022-06-09,1020851.5075135728
174,2022-06-10,995136.9000708848
175,2022-06-13,984784.8954403535
176,2022-06-14,984861.0438168184
177,2022-06-15,989460.0028393404
178,2022-06-16,966843.9934780733
179,2022-06-17,962749.724831833
180,2022-06-21,981404.670548691
181,2022-06-22,984649.3332913057
182,2022-06-23,984797.0084087984
183,2022-06-24,1013645.3796898576
184,2022-06-27,1010641.4752098771
185,2022-06-28,996194.9486214372
186,2022-06-29,1004082.736867592
187,2022-06-30,1000014.1640907975
188,2022-07-01,1015159.527013466
189,2022-07-05,1009664.805806801
190,2022-07-06,1009906.2070519181
191,2022-07-07,1018200.9267327043
192,2022-07-08,1017509.2818581315
193,2022-07-11,1016367.2979866716
194,2022-07-12,1010335.8542610856
195,2022-07-13,1007742.7284523698
196,2022-07-14,1002451.7923943254
197,2022-07-15,1016552.5768105241
198,2022-07-18,1009343.1072212907
199,2022-07-19,1030855.6539077302
200,2022-07-20,1028966.512449463
201,2022-07-21,1029752.0166864931
202,2022-07-22,1027793.3498925859
203,2022-07-25,1024531.7433861315
204,2022-07-26,1035693.0051637193
205,2022-07-27,1040837.9170199281
206,2022-07-28,1051961.0037438509
207,2022-07-29,1059158.0330158311
208,2022-08-01,1058281.7645666543
209,2022-08-02,1045465.1745355112
210,2022-08-03,1053458.057490101
211,2022-08-04,1053787.3404747355
212,2022-08-05,1054744.3090677187
213,2022-08-08,1049883.2035366595
214,2022-08-09,1055463.0460759583
215,2022-08-10,1067094.8119438097
216,2022-08-11,1067975.120739136
217,2022-08-12,1078947.623349518
218,2022-08-15,1090000.0724098398
219,2022-08-16,1093448.6137968942
220,2022-08-17,1092087.528941967
221,2022-08-18,1093357.0427933924
222,2022-08-19,1087299.6569631617
223,2022-08-22,1068658.7789453545
224,2022-08-23,1061989.7084955254
225,2022-08-24,1062529.512481121
226,2022-08-25,1072227.3559831658
227,2022-08-26,1043088.8941735956
228,2022-08-29,1037250.7531938287
229,2022-08-30,1028546.8572969171
230,2022-08-31,1024414.2302560541
231,2022-09-01,1035660.2490167352
232,2022-09-02,1025962.5959100458
233,2022-09-06,1021501.1345376703
234,2022-09-07,1035703.4785394403
235,2022-09-08,1040757.9559259149
236,2022-09-09,1047871.3519525263
237,2022-09-12,1054339.0128221246
238,2022-09-13,1024226.3819360468
239,2022-09-14,1025482.5654725763
240,2022-09-15,1017008.9447622034
241,2022-09-16,1015919.9639501306
242,2022-09-19,1023084.2194032404
243,2022-09-20,1014602.2192468378
244,2022-09-21,996768.5987863275
245,2022-09-22,987030.5719995233
246,2022-09-23,974036.4140252802
247,2022-09-26,960958.7304375421
248,2022-09-27,944931.386055958
249,2022-09-28,952590.9356307527
250,2022-09-29,944095.0772017976
251,2022-09-30,929901.1342467805
252,2022-10-03,951855.7128797247
253,2022-10-04,973476.8835340216
254,2022-10-05,973730.1675134375
255,2022-10-06,958517.3117433264
256,2022-10-07,946430.2272630407
257,2022-10-10,948371.7346730902
258,2022-10-11,950220.3943277075
259,2022-10-12,949490.28186471
260,2022-10-13,986817.8308110907
261,2022-10-14,971614.5862060529
262,2022-10-17,985261.115060423
263,2022-10-18,997183.2193313581
264,2022-10-19,1003777.8006130201
265,2022-10-20,1001453.6270576459
266,2022-10-21,1025196.3898159009
267,2022-10-24,1033440.443513487
268,2022-10-25,1037328.2525764448
269,2022-10-26,1048164.628809004
270,2022-10-27,1067059.1341164475
271,2022-10-28,1101279.399856331
272,2022-10-31,1097361.5198895952
273,2022-11-01,1097032.4326578467
274,2022-11-02,1084030.4153240186
275,2022-11-03,1083857.5444362622
276,2022-11-04,1095523.5152614575
277,2022-11-07,1104791.76882057
278,2022-11-08,1112026.2617366773
279,2022-11-09,1099685.8218791944
280,2022-11-10,1118026.5352809888
281,2022-11-11,1112779.6405628186
282,2022-11-14,1115231.3755023938
283,2022-11-15,1108599.0640857678
284,2022-11-16,1116183.797564314
285,2022-11-17,1120161.739085005
286,2022-11-18,1121381.2037456494
287,2022-11-21,1120785.8912837964
288,2022-11-22,1129525.25874214
289,2022-11-23,1128495.4892070752
290,2022-11-25,1134305.7806232434
291,2022-11-28,1119863.5373142224
292,2022-11-29,1117352.944880293
293,2022-11-30,1135330.8137729627
294,2022-12-01,1134581.5557125073
295,2022-12-02,1134596.240847395
296,2022-12-05,1121093.975271986
297,2022-12-06,1114433.066653059
298,2022-12-07,1109871.4060395453
299,2022-12-08,1117090.7696252463
300,2022-12-09,1111281.2166314719
301,2022-12-12,1129180.326094431
302,2022-12-13,1126524.367586901
303,2022-12-14,1123206.1937932265
304,2022-12-15,1101517.0248818723
305,2022-12-16,1087043.4298779871
306,2022-12-19,1084357.5725896722
307,2022-12-20,1090275.8884957067
308,2022-12-21,1100090.6882032834
309,2022-12-22,1088382.7433791487
310,2022-12-23,1094887.3649700605
311,2022-12-27,1094040.1519806061
312,2022-12-28,1084428.7625372908
313,2022-12-29,1092644.7223799727
314,2022-12-30,1086441.7732734433
315,2023-01-03,1088019.6413364164
316,2023-01-04,1092576.18898551
317,2023-01-05,1083219.169524832
318,2023-01-06,1112836.489131613
319,2023-01-09,1107682.0975291901
320,2023-01-10,1116514.2037941248
321,2023-01-11,1120574.8574768335
322,2023-01-12,1120997.6092392236
323,2023-01-13,1127848.4577519228
324,2023-01-17,1123190.9626137544
325,2023-01-18,1097419.2153987829
326,2023-01-19,1091547.7354865551
327,2023-01-20,1104719.4607825757
328,2023-01-23,1111385.0321363432
329,2023-01-24,1114391.3961856158
330,2023-01-25,1119127.9817569049
331,2023-01-26,1124799.8717791827
332,2023-01-27,1121085.7346427233
333,2023-01-30,1114521.1981189044
334,2023-01-31,1114725.2260501178
335,2023-02-01,1109390.3432566912
336,2023-02-02,1104573.9164284097
337,2023-02-03,1106266.75008766
338,2023-02-06,1113873.009011471
339,2023-02-07,1118569.82339724
340,2023-02-08,1105364.424440941
341,2023-02-09,1095051.906347832
342,2023-02-10,1100686.248976311
343,2023-02-13,1113353.0241838305
344,2023-02-14,1110107.2315584032
345,2023-02-15,1111929.2855691758
346,2023-02-16,1103298.9657966387
347,2023-02-17,1111241.9007903826
348,2023-02-21,1098405.6331626666
349,2023-02-22,1097517.5511609574
350,2023-02-23,1095435.5472070237
351,2023-02-24,1086296.895175068
352,2023-02-27,1089749.281056492
