,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2021-10-26,1036796.9726000024,1055651.230043499,1065992.2834097329,1057612.7424896583,1002271.714109158,1041671.0004376635
2021-10-27,1038483.9429039995,1052282.072265381,1050200.5406843605,1045824.2430961952,1002461.0445267144,1033916.4142458431
2021-10-28,1045709.4664435465,1057892.0621901362,1047593.9260679665,1049100.375016056,1011235.9502059902,1040901.9599721152
2021-10-29,1049219.3963894083,1063703.7709315873,1051655.5506674233,1050230.4331863746,1010908.8620079004,1043496.9879058771
2021-11-01,1053486.3873802263,1065391.4963296128,1047320.5609823647,1054299.3046425208,1001449.7300061455,1046243.5935105638
2021-11-02,1055735.8956848527,1076595.8923249398,1046845.9450155678,1058512.1682442054,1003628.3829530701,1050286.8027057296
2021-11-03,1061480.351858784,1074316.2729639397,1051455.020226139,1060656.2799766883,1012957.4688816435,1053344.1880546326
2021-11-04,1060970.2715907556,1065730.7704050294,1051522.4834944191,1054159.7591751441,1017154.6967413122,1052372.7026367004
2021-11-05,1065670.5535187342,1068182.5122896158,1059642.805660862,1061215.87975391,1015278.7508873777,1058307.4464010203
2021-11-08,1065651.9738981172,1071064.0563320504,1067693.535309452,1062941.805689846,1015655.10483311,1061345.0310631809
2021-11-09,1063476.3677552796,1066683.0196894798,1064658.6304289284,1059030.0661809007,1019846.6432683043,1058075.300418523
2021-11-10,1061394.2806723826,1054487.2625310211,1063962.5818182412,1051258.9825512925,1005359.0355691449,1051082.471681035
2021-11-11,1055491.9436782342,1054892.52440543,1050711.0552870217,1050701.6066052476,1003035.3332606644,1046458.8975296255
2021-11-12,1056822.947513279,1063338.350355217,1057097.3086172524,1056668.290885643,1014099.7129359941,1051675.8095010067
2021-11-15,1058249.0599739114,1061072.6572394487,1049852.4368635598,1059260.477630333,1007815.1419406619,1051301.1896116037
2021-11-16,1059620.1158153422,1062321.3514927484,1056145.8954969826,1061614.4587590257,1029662.2475368642,1052896.7380530736
2021-11-17,1057565.2100881427,1050725.5318322794,1048878.534603733,1051629.7728344956,1035951.0960910254,1046744.9833139386
2021-11-18,1055617.732460293,1054547.011203171,1048325.9035917702,1054956.2453763047,1052515.1443623186,1044994.1018988858
2021-11-19,1048511.072435425,1052063.2675839234,1038375.4826857033,1040446.6985241928,1055862.8439999435,1037158.4922072919
2021-11-22,1054180.8776367342,1056275.0740321581,1031221.2082334938,1041231.5677525558,1054005.2389522637,1037661.58896642
2021-11-23,1064896.3458389514,1066049.6179617692,1038477.9442411843,1052964.5393597642,1057479.65523179,1043329.2510538177
2021-11-24,1067776.7970336687,1058946.625766941,1042462.0020986977,1052711.01156588,1062973.0352016704,1043054.7725686292
2021-11-26,1044709.7296385652,1033252.9321488764,1017291.9938093605,1025223.5829922714,1036438.8140887453,1016689.1339976199
2021-11-29,1052380.175848053,1040997.5481527215,1027520.7842871132,1030503.6481502762,1056747.460290975,1023581.821330893
2021-11-30,1032444.964609772,1029030.1785347558,1006249.635323185,1013898.1124804115,1053020.6370272178,1004581.241648719
2021-12-01,1031068.8881377222,1024538.7829204676,1002688.6973234597,999591.8617619934,1044450.454037098,991131.5682803923
2021-12-02,1045251.0681013872,1037629.4122567178,1018120.7124252624,1024905.4456848602,1054112.401700013,1009127.8889941637
2021-12-03,1049755.8082730332,1026652.9575419198,1022919.0440265579,1022195.0648331146,1052886.0544320135,1007388.3872841356
2021-12-06,1072135.9935458377,1044324.7951108896,1047568.1038219376,1045585.2299293976,1071808.7960160854,1026235.4547455304
2021-12-07,1084997.1067319529,1069373.5276389238,1057044.6188671037,1059206.9403213959,1088574.8958452046,1040580.0281169752
2021-12-08,1086687.301808651,1069808.4756789324,1060587.431500618,1058963.342813919,1092927.6426716107,1041608.9810452805
2021-12-09,1092696.8923906863,1067963.5545287249,1066565.672681038,1057976.1284927826,1093103.564854554,1041607.2740895269
2021-12-10,1100346.453192051,1076269.731054867,1074440.4623958513,1057362.088152359,1109205.1494012119,1047908.4443556322
2021-12-13,1092004.9428589097,1063999.3031068689,1068487.0074397966,1042963.4814667206,1092210.3104869681,1038585.0520291493
2021-12-14,1095464.8278862687,1057714.9319826013,1067632.129182045,1044630.6702637176,1084640.2164665991,1035474.6372548327
2021-12-15,1107456.6356373446,1073688.6679372978,1084399.2910625383,1057817.727266739,1107275.788115177,1046639.4934483625
2021-12-16,1115063.4618891526,1068507.1244860382,1084340.9797354317,1054857.6065048676,1084224.9878046243,1045771.6771432024
2021-12-17,1101963.9916127818,1048116.8032751619,1065564.8079663124,1035796.6432251434,1067965.977817527,1030267.6256268226
2021-12-20,1097037.6033538019,1029577.3614154779,1055772.0053384285,1022345.4231514435,1061293.5086379831,1017645.256813769
2021-12-21,1107405.3346803514,1049002.6319422037,1068146.998239277,1041295.0721344452,1076154.3894543336,1033974.9059296683
2021-12-22,1112269.2139606287,1059496.632251774,1077715.9305703621,1049738.6799416046,1088937.5000425223,1041583.9456942269
2021-12-23,1117470.7664948464,1066488.1395736276,1081605.9352341844,1055825.58454747,1092221.5411382334,1047313.2857828566
2021-12-27,1128549.422296837,1080957.5580181123,1089726.926894951,1064115.2620605926,1110222.744779463,1057562.5309101238
2021-12-28,1131607.1001350023,1079748.2308391572,1095170.6958311081,1070120.7241501312,1110942.9366354817,1060354.3139437574
2021-12-29,1136079.6992551386,1080249.310756058,1099973.747470665,1071567.0442451935,1117634.4421425585,1062988.374265753
2021-12-30,1132646.8463303417,1075697.7275563127,1099571.6860120774,1068884.1301941376,1113599.7720437725,1060350.4448440492
2021-12-31,1133283.1060075152,1069537.3844014818,1098085.055057335,1067136.8415436249,1114983.5281526726,1058609.0085841666
2022-01-03,1137215.9798599626,1084829.3251821215,1102875.9688184739,1078888.8751205902,1116870.8850920005,1065797.568248074
2022-01-04,1140395.2248811114,1090112.3913137133,1104142.436584282,1088536.1039185028,1109290.5419076877,1072049.0092032226
2022-01-05,1136042.4398661195,1067058.0215627367,1100977.1318662644,1077055.1384071808,1088206.7596958876,1060613.543624213
2022-01-06,1134880.096593136,1057652.4364949877,1090734.2945211183,1066742.3558868866,1070169.9254125953,1055642.4332813583
2022-01-07,1130763.669044964,1059601.6874410326,1086174.9494169008,1064362.9277672272,1051265.777312457,1055502.3491125081
2022-01-10,1127817.4546738206,1062791.2745992357,1078325.4747197877,1060628.7116188507,1046390.5958790393,1050759.9708406439
2022-01-11,1125457.760120289,1072363.4427714006,1082503.0536077272,1071268.9095901947,1054327.9158046609,1056095.4593383793
2022-01-12,1124683.490254963,1064309.1976236955,1085365.8764074098,1066847.476950119,1061851.3524205126,1057211.239416021
2022-01-13,1124205.6507563554,1050108.0933909074,1079863.0187108766,1068691.4330925446,1046746.8910222503,1052063.629848238
2022-01-14,1118503.1394000016,1045917.6417154924,1069218.9327657472,1060129.456587265,1035627.9636921542,1046184.4190444371
